Name,Email,Phone,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,,,
Student61,student61@example.com,9000000061,,3,0,1,0,3,3,3,0,3,2,,,
Student62,student62@example.com,9000000062,,1,3,0,0,2,3,1,3,1,1,,,
Student63,student63@example.com,9000000063,,0,2,1,0,1,2,2,3,2,2,,,
Student64,student64@example.com,9000000064,,3,0,2,3,1,0,3,2,2,3,,,
Student65,student65@example.com,9000000065,,2,3,0,3,3,2,1,0,3,0,,,
Student66,student66@example.com,9000000066,,0,3,3,2,2,0,2,0,2,3,,,
Student67,student67@example.com,9000000067,,1,1,1,3,0,0,0,3,2,0,,,
Student68,student68@example.com,9000000068,,3,2,2,3,2,0,3,0,0,0,,,
Student69,student69@example.com,9000000069,,0,3,2,2,0,2,1,1,1,0,,,
Student70,student70@example.com,9000000070,,1,0,3,2,2,1,0,1,0,3,,,
Student71,student71@example.com,9000000071,,2,3,0,3,2,3,1,1,3,0,,,
Student72,student72@example.com,9000000072,,0,1,0,0,0,1,2,0,1,0,,,
Student73,student73@example.com,9000000073,,1,0,0,2,0,3,3,0,2,2,,,
Student74,student74@example.com,9000000074,,1,3,2,1,3,1,1,0,3,1,,,
Student75,student75@example.com,9000000075,,0,2,0,0,0,1,2,3,3,1,,,
Student76,student76@example.com,9000000076,,0,0,0,1,3,3,2,1,0,3,,,
Student77,student77@example.com,9000000077,,0,3,0,2,1,1,1,1,0,2,,,
Student78,student78@example.com,9000000078,,0,3,2,2,1,0,2,3,0,0,,,
Student79,student79@example.com,9000000079,,1,3,1,0,3,1,2,2,2,3,,,
Student80,student80@example.com,9000000080,,3,3,3,1,2,3,2,1,2,2,,,
Student81,student81@example.com,9000000081,,2,2,0,1,1,2,0,3,0,1,,,
Student82,student82@example.com,9000000082,,0,3,3,2,3,2,0,3,3,1,,,
Student83,student83@example.com,9000000083,,0,3,0,3,3,1,1,2,0,0,,,
Student84,student84@example.com,9000000084,,3,3,3,2,3,0,0,0,2,2,,,
Student85,student85@example.com,9000000085,,1,0,3,3,1,3,0,3,1,2,,,
Student86,student86@example.com,9000000086,,1,0,0,3,1,0,1,1,0,1,,,
Student87,student87@example.com,9000000087,,2,1,2,1,1,1,1,1,1,2,,,
Student88,student88@example.com,9000000088,,0,2,3,0,0,0,3,0,1,3,,,
Student89,student89@example.com,9000000089,,0,0,0,2,0,2,0,1,2,2,,,
Student90,student90@example.com,9000000090,,3,3,3,2,2,2,3,3,1,0,,,
Student91,student91@example.com,9000000091,,0,3,3,1,1,3,3,0,2,0,,,
Student92,student92@example.com,9000000092,,2,2,1,0,3,2,1,3,3,1,,,
Student93,student93@example.com,9000000093,,2,2,0,0,1,2,0,0,0,3,,,
Student94,student94@example.com,9000000094,,1,0,1,3,0,1,2,2,3,1,,,
Student95,student95@example.com,9000000095,,3,2,2,2,3,1,0,0,3,1,,,
Student96,student96@example.com,9000000096,,1,1,1,1,1,3,3,2,3,0,,,
Student97,student97@example.com,9000000097,,0,0,0,1,2,0,0,1,1,0,,,
Student98,student98@example.com,9000000098,,2,3,3,3,3,2,3,2,0,2,,,
Student99,student99@example.com,9000000099,,3,0,1,0,2,2,0,0,0,2,,,
Student100,student100@example.com,9000000100,,1,0,2,3,3,0,1,1,2,3,,,
