student_name,email,phone,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
Student70,student70@example.com,98765430070,3,1,2,2,3,4,2,3,4,3
Student71,student71@example.com,98765430071,3,1,1,1,3,4,1,3,4,2
Student72,student72@example.com,98765430072,3,2,1,2,2,1,4,3,2,4
Student73,student73@example.com,98765430073,4,1,3,4,4,1,3,3,2,1
Student74,student74@example.com,98765430074,1,1,1,3,3,1,1,2,1,2
Student75,student75@example.com,98765430075,1,2,3,3,3,1,4,3,4,3
Student76,student76@example.com,98765430076,2,2,1,4,2,2,2,3,2,4
Student77,student77@example.com,98765430077,1,1,1,3,4,3,4,3,3,1
Student78,student78@example.com,98765430078,2,1,4,1,1,3,2,3,2,3
Student79,student79@example.com,98765430079,3,2,4,3,1,1,1,2,1,4
Student80,student80@example.com,98765430080,2,3,4,1,2,1,3,3,1,3
Student81,student81@example.com,98765430081,1,3,4,3,1,3,1,3,1,4
Student82,student82@example.com,98765430082,4,2,3,2,3,4,4,2,2,2
Student83,student83@example.com,98765430083,3,1,3,4,4,2,3,2,4,2
Student84,student84@example.com,98765430084,4,1,1,4,2,1,2,4,1,2
Student85,student85@example.com,98765430085,4,2,4,4,3,3,2,3,3,3
Student86,student86@example.com,98765430086,3,2,2,3,1,2,3,2,1,4
Student87,student87@example.com,98765430087,2,2,3,2,4,4,4,2,3,2
Student88,student88@example.com,98765430088,2,1,2,2,3,1,3,1,2,3
Student89,student89@example.com,98765430089,1,4,2,2,2,4,2,3,2,2
Student90,student90@example.com,98765430090,3,2,3,1,1,3,2,1,1,4
Student91,student91@example.com,98765430091,1,1,3,1,1,1,2,1,4,4
Student92,student92@example.com,98765430092,2,1,3,3,4,2,3,2,3,4
Student93,student93@example.com,98765430093,4,1,3,3,2,2,2,4,3,1
Student94,student94@example.com,98765430094,3,4,1,3,2,3,2,2,1,3
Student95,student95@example.com,98765430095,3,4,1,1,1,2,4,4,2,1
Student96,student96@example.com,98765430096,2,3,1,4,4,2,1,3,1,1
Student97,student97@example.com,98765430097,3,3,4,2,4,3,4,4,1,3
Student98,student98@example.com,98765430098,3,3,2,2,1,3,3,1,3,1
Student99,student99@example.com,98765430099,3,2,1,1,4,3,1,2,1,2
Student100,student100@example.com,98765430100,2,1,2,3,4,3,1,1,3,4
